	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
100462983_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100463285_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100463289_at	1	1	1	1	1	1	1	2	1	1	2	1	2	4
100463482_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100463486_at	5	5	5	4	4	5	5	4	5	5	5	5	4	4
10047_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10048_at	4	4	4	4	4	4	4	4	4	4	4	4	3	4
10049_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100499483_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1005_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10050_at	1	1	1	1	1	1	1	1	1	1	2	2	2	4
100500938_at	4	4	4	3	4	4	4	3	4	4	4	4	3	4
100505478_at	1	1	1	1	1	1	1	2	1	1	1	1	1	1
100505502_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505549_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505573_at	3	4	4	4	4	3	4	4	3	3	4	4	3	4
100505591_at	5	5	5	5	6	5	5	6	5	5	6	5	4	4
100505679_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505724_at	5	5	5	5	5	5	6	5	6	5	5	6	3	4
100505741_at	2	3	2	2	2	2	2	2	2	2	2	2	2	3
100505753_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505767_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505841_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505876_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505989_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100505993_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506012_at	4	3	3	3	3	3	4	3	3	3	3	3	3	5
100506013_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506049_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506084_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506115_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506127_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100506144_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506243_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506248_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506374_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506422_at	1	1	1	1	1	1	1	2	1	1	3	2	1	4
100506514_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100506540_at	3	3	3	2	3	3	3	3	3	2	3	3	2	3
100506564_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506571_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506581_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506650_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506658_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506736_at	3	3	3	3	4	3	3	4	3	3	3	4	3	4
100506742_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100506888_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507003_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507027_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507050_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507055_at	2	2	2	2	3	2	2	1	2	1	2	2	2	3
100507096_at	1	1	1	1	1	2	2	2	1	1	1	2	1	2
100507203_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507221_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507290_at	3	3	3	3	3	2	2	3	2	3	3	2	2	4
100507341_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507421_at	2	2	2	2	2	2	2	2	2	2	2	2	1	2
100507436_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507462_at	5	6	5	6	6	5	5	5	5	5	6	6	5	4
100507527_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507537_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100507588_at	4	4	4	3	4	4	4	3	4	3	4	4	3	4
100507607_at	1	1	1	1	1	1	2	2	1	1	2	1	1	3
100507608_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507650_at	6	5	6	5	6	5	6	5	5	5	5	5	4	4
100507679_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100507747_at	6	6	6	6	6	6	6	6	6	5	6	6	5	4
10051_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100510707_at	4	3	3	3	4	4	3	4	4	4	4	4	3	3
10052_at	4	4	4	4	4	4	4	4	3	3	4	4	3	4
100526767_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100526771_at	3	2	3	2	4	2	3	4	3	3	3	3	2	4
100526773_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100527963_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100528020_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100528064_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100529215_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10053_at	3	3	3	3	3	2	3	3	3	3	3	3	2	4
100533105_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100533106_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100533177_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10054_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10055_at	4	3	4	3	4	3	3	3	3	3	4	3	3	3
10056_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10057_at	4	4	4	4	4	4	4	4	3	3	4	3	3	4
10058_at	1	1	1	1	1	1	1	1	1	1	1	2	1	2
10059_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1006_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10060_at	4	4	4	5	4	3	4	4	4	2	4	4	3	3
10061_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10062_at	5	5	5	4	5	5	5	5	5	4	5	5	4	5
10063_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100652748_at	5	2	4	3	2	2	2	3	2	2	4	2	3	4
100652777_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100652824_at	1	1	1	1	1	1	1	1	1	1	2	1	1	2
100652833_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
