	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
10481_at	0.324493608	0.658337692	0.20160908	0.821928531	0.49130962	0.121418373	0.164661105	0.562814958	0.339120793	0.086955099	0.116730854	0.357433507	0.136311896	0.791134016
10482_at	0.414150211	0.240630376	0.350060713	0.381598296	0.290262244	0.254500704	0.062501204	0.60804869	0.090435983	0.585456527	0.898498323	0.934999881	1.062552994	2.133612302
10483_at	6.337223086	6.18810142	6.506621671	6.534623618	6.130449247	6.675601128	6.760569764	6.225873719	6.59096668	7.554264671	5.777292051	6.385338613	6.208065259	5.159012989
10484_at	0	0.157031064	0.073398588	0.113979275	0	0	0	0	0	0	0.304065686	0.291164596	0.0962173	0.421066496
10485_at	0.275053076	0.087514836	0.328224367	0.093648124	0.106732356	0	0.095784193	0.183273892	0.223015208	0.160377918	0.46758999	0.260188329	0.201675064	0.546764899
10486_at	2.39282831	4.977298794	2.356762267	3.474845165	4.915470833	3.906604675	4.069037145	3.957461236	3.899061688	3.020540566	3.533282538	4.210629003	3.06238637	5.378441588
10487_at	3.576722389	3.373069064	3.552183648	3.435440994	3.137862723	3.071702259	3.044402857	3.136599571	3.041372544	3.371861704	3.691491338	2.883274357	2.372948004	3.896809448
10488_at	7.835118693	8.21158539	7.797939953	8.052718877	8.144699461	7.763606675	8.14958357	7.988410044	8.530628984	8.153661211	7.585097964	7.961082569	7.766826944	7.974748629
10489_at	0.046320054	0.075096043	0.133572203	0	0	0	0.160015425	0	0.080153478	0.311616488	0.347715482	0.272406508	0	0
10490_at	0	0.249208177	0	0.182440497	0	0	0	0	0	0.888160882	1.958049009	0.867941876	0	0
10491_at	4.506432456	4.347476908	4.185490321	4.054800774	3.914994273	3.967062666	4.074644201	3.662235174	3.581850156	4.281358255	4.567535214	3.665184734	4.417388483	5.39743641
10492_at	0.023092321	0	0.100248792	0	0	0	0	0.106093146	0.079299506	0.028387341	0.075754322	0.089813918	0	0.108194042
10493_at	0.152030946	0.447825496	0	0.333675056	0.152803283	0	0.180373394	0	0.133952544	0	0.12807026	0.772187078	0	0
