	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
RFWD3	-2.85188907310385	-0.800530266134413	0.900596549401214	0	-0.929052912839613	-2.96502936349372e-05
SLC25A28	-3.55235305597146	-1.10072911593482	1.20079539920162	0	-0.929895066110814	-2.96502936349372e-05
OGA	-2.50165708167004	-0.750497124501012	0.800530266134416	0	-0.930951636093693	-2.96502936349372e-05
RBM15B	-3.25215420617106	-1.05069597430142	1.10072911593482	0	-0.931655514945701	-2.96502936349372e-05
ESM1	-4.50298274700607	-2.05135880696944	1.80119309880243	0	-0.933050804367246	-2.96502936349372e-05
IRF2BPL	-3.20212106453766	-0.950629691034615	1.05069597430142	0	-0.933621371491598	-2.96502936349372e-05
XPC	-2.55169022330344	-0.850563407767817	0.900596549401214	0	-0.934447475181033	-2.96502936349372e-05
MTHFD2L	-4.20278389720566	-1.30086168246842	1.40092796573523	0	-0.937598924489223	-2.96502936349372e-05
SESN3	-2.65175650657025	-0.800530266134413	0.850563407767817	0	-0.939013078100199	-2.96502936349372e-05
ITPK1	-4.75314845517308	-1.05069597430142	1.20079539920162	0	-0.939185110140988	-2.96502936349372e-05
ACAA1	-4.50298274700607	-1.85122624043583	1.70112681553563	0	-0.939338222896962	-2.96502936349372e-05
SNX19	-3.60238619760487	-1.05069597430142	1.15076225756822	0	-0.941704740954763	-2.96502936349372e-05
RIOK3	-2.60172336493685	-0.800530266134413	0.850563407767817	0	-0.94194737878819	-2.96502936349372e-05
SNRPD1	-2.20145823186964	-0.700463982867611	0.700463982867611	0	-0.94383372806688	-2.96502936349372e-05
HASPIN	-4.45294960537266	-1.40092796573523	1.60106053226883	0	-0.944709831745424	-2.96502936349372e-05
CDNF	-4.65308217190629	-2.05135880696944	1.75115995716903	0	-0.944881151744339	-2.96502936349372e-05
GDF15	-4.60304903027289	-2.05135880696944	1.80119309880243	0	-0.945074533090343	-2.96502936349372e-05
CSNK2A2	-2.35155765676984	-0.750497124501012	0.800530266134416	0	-0.945718413052547	-2.96502936349372e-05
TSPYL4	-4.95328102170667	-1.50099424900203	2.65175650657025	0	-0.947783161644328	-2.96502936349372e-05
FLRT1	-4.70311531353967	-1.85122624043583	1.70112681553563	0	-0.94784984127858	-2.96502936349372e-05
FDX1	-3.80251876413847	-1.25082854083502	1.30086168246842	0	-0.950190126609918	-2.96502936349372e-05
SOX12	-3.15208792290426	-1.00066283266802	1.00066283266802	0	-0.950595147227388	-2.96502936349372e-05
PIMREG	-3.45228677270465	-1.10072911593482	1.15076225756822	0	-0.951352982940039	-2.96502936349372e-05
RPS12	-2.80185593147045	-0.850563407767817	0.850563407767817	0	-0.953066050332818	-2.96502936349372e-05
PSMB9	-2.35155765676984	-0.750497124501012	0.750497124501012	0	-0.955013739109808	-2.96502936349372e-05
TGOLN2	-2.55169022330344	-0.800530266134413	0.800530266134416	0	-0.955191184429843	-2.96502936349372e-05
DCAF12L2	-3.80251876413847	-1.20079539920162	1.35089482410183	0	-0.955848853048359	-2.96502936349372e-05
SCNM1	-2.50165708167004	-0.800530266134413	0.800530266134416	0	-0.959022254177122	-2.96502936349372e-05
TNFAIP8L2-SCNM1	-2.50165708167004	-0.800530266134413	0.800530266134416	0	-0.959022254177122	-2.96502936349372e-05
ARHGAP10	-4.85321473843989	-1.55102739063543	1.65109367390223	0	-0.959487763854512	-2.96502936349372e-05
TNFSF4	-4.75314845517308	-1.95129252370263	1.85122624043583	0	-0.959811373502081	-2.96502936349372e-05
UNC119B	-3.90258504740528	-1.10072911593482	1.25082854083502	0	-0.961118281817321	-2.96502936349372e-05
H1-10	-4.85321473843989	-1.45096110736862	1.55102739063543	0	-0.964754108679735	-2.96502936349372e-05
LTN1	-2.90192221473725	-0.950629691034615	0.950629691034615	0	-0.964866982592378	-2.96502936349372e-05
TIMM8A	-3.10205478127086	-0.950629691034615	0.950629691034615	0	-0.969832895363688	-2.96502936349372e-05
IRGQ	-4.85321473843989	-1.70112681553563	2.15142509023624	0	-0.970063566662973	-2.96502936349372e-05
CCNF	-3.45228677270465	-1.10072911593482	1.10072911593482	0	-0.970251310898771	-2.96502936349372e-05
ZBTB42	-4.70311531353967	-1.75115995716903	2.25149137350304	0	-0.971725973453836	-2.96502936349372e-05
B4GALNT4	-5.40357929640731	-2.45162394003664	2.35155765676984	0	-0.972798647197148	-2.96502936349372e-05
HNRNPUL2	-2.70178964820365	-0.850563407767817	0.850563407767817	0	-0.973630760628034	-2.96502936349372e-05
HNRNPUL2-BSCL2	-2.70178964820365	-0.850563407767817	0.850563407767817	0	-0.973630760628034	-2.96502936349372e-05
CLDND2	-4.80318159680648	-1.95129252370263	1.80119309880243	0	-0.974695081403323	-2.96502936349372e-05
FNDC9	-4.85321473843989	-1.85122624043583	1.75115995716903	0	-0.974836374371276	-2.96502936349372e-05
OTUD3	-4.70311531353967	-2.30152451513644	1.70112681553563	0	-0.975393559230451	-2.96502936349372e-05
ZYG11B	-2.75182278983705	-0.900596549401214	0.900596549401214	0	-0.975409218151652	-2.96502936349372e-05
